Frame,OY,Y1,Y2
465,-11.64,-11.6619,-12.1129
466,-11.1229,-11.1609,-11.7477
467,-10.6185,-10.66,-11.3738
468,-10.1253,-10.159,-10.9901
469,-9.6336,-9.65803,-10.5954
470,-9.12904,-9.15707,-10.1884
471,-8.59768,-8.6561,-9.7677
472,-8.03338,-8.15513,-9.33151
473,-7.43834,-7.65417,-8.87793
474,-6.8271,-7.1532,-8.40474
475,-6.22005,-6.65223,-7.90937
476,-5.63991,-6.15127,-7.38883
477,-5.10545,-5.6503,-6.83962
478,-4.62605,-5.14933,-6.25762
479,-4.20002,-4.64837,-5.63792
480,-3.81247,-4.1474,-4.97465
481,-3.44019,-3.64643,-4.26075
482,-3.05791,-3.14547,-3.48757
483,-2.6445,-2.6445,-2.6445
484,-2.19487,-10.4341,-2.73836
485,-1.71833,-18.2238,-2.85995
486,-1.24118,-26.0134,-3.01527
487,-0.803801,-33.8031,-3.21226
488,-0.451822,-41.5927,-3.4616
489,-0.234272,-49.3824,-3.77802
490,-0.191135,-57.172,-4.18236
491,-0.353747,-64.9616,-4.70518
492,-0.749235,-72.7513,-5.393
493,-1.40368,-80.5409,-6.32036
494,-2.37211,-88.3306,-7.61425
495,-3.77499,-96.1202,-9.50947
496,-5.89447,-103.91,-12.4906
497,-9.44456,-111.7,-17.7255
498,-16.6175,-119.489,-28.7355
499,-37.2042,-127.279,-58.7199
500,-105.786,-135.068,-117.291
